id,workitem_type,estimate,words,rel,sprint,assigned_to,new,doing,done,actual_work
855932,Story,60.0,"connectors,data,pluggable,support",,15,delossj,2015-01-28 22:38:12.903,2015-07-14 02:58:32.660,2015-07-23 10:05:15.403,9
860430,Story,15.0,"decision,prevent,rule,rules,tree,types,viewing",,04,vitalim,2015-02-04 07:00:33.127,2015-02-25 03:37:54.033,2015-03-03 10:10:48.690,6
870425,Story,32.0,"arbitrary,mapping,price",,14,vitalim,2015-02-18 20:20:23.987,2015-07-20 09:31:40.947,2015-07-20 09:31:53.143,0
870426,Story,84.0,cleanup,,13,vitalim,2015-02-18 20:21:17.197,2015-06-01 21:00:49.570,2015-07-14 01:13:22.640,42
873570,Bug,,"decision,fails,import,large,trees,very",,06,olsonju,2015-02-24 19:28:56.887,2015-03-30 21:05:11.187,2015-03-30 21:05:33.400,0
890619,Story,40.0,"automate,price,request,testing",,13,delossj,2015-03-19 23:53:17.330,2015-07-13 02:56:50.640,2015-07-13 02:57:02.467,0
891430,Bug,,"calculatedfrom,computation,correct",,06,navarrj,2015-03-23 01:59:01.580,2015-03-23 02:39:46.533,2015-03-23 11:29:29.363,0
891740,Bug,,"api,getancillaryconfiguration,permissions",,06,navarrj,2015-03-23 09:54:31.643,2015-03-23 11:29:10.993,2015-03-23 11:29:20.143,0
891798,Bug,,"accept,listderivedinputparameter,sourcecode",,06,beckrob,2015-03-23 11:41:08.173,2015-03-23 14:02:40.743,2015-03-25 15:30:36.370,2
892179,Bug,,"analytics,missing,records,ruletype",,06,beckrob,2015-03-23 23:12:29.850,2015-03-25 11:56:43.810,2015-03-25 15:36:00.070,0
892184,Bug,,"experiment,have,make,old,optimization,optimizationgroup,sure",,06,beckrob,2015-03-23 23:17:04.243,2015-03-24 15:55:17.863,2015-03-25 15:31:00.020,0
893741,Bug,,"also,clear,command,experiment,non,optimizationgroupid,records,removed,zero",,06,beckrob,2015-03-25 16:03:32.943,2015-03-26 15:01:13.503,2015-03-26 16:31:35.887,0
894774,Bug,,"fix,optimizationgroup,versioning",,06,beckrob,2015-03-26 10:36:18.193,2015-03-26 14:54:32.277,2015-03-31 11:40:26.420,4
895903,Issue,,"basic,criterias,missing,optimization,price,rule,type",,06,olsonju,2015-03-27 06:01:53.990,2015-03-30 16:44:50.263,2015-03-30 16:45:54.357,0
896967,Bug,,"closed,dialog,host,killed,manager,opened,process,rule,select",,06,navarrj,2015-03-30 08:17:12.370,2015-04-06 10:09:05.907,2015-04-07 07:41:24.283,0
897073,Bug,,"methodnotfoundexception,users",,06,navarrj,2015-03-30 10:03:07.803,2015-03-30 10:03:15.303,2015-03-30 10:58:53.000,0
897554,Bug,,"after,error,importing,object,optimizationgroup,pax,reference,required,returned,type,without",,07,navarrj,2015-03-31 01:00:37.683,2015-04-01 10:36:42.480,2015-04-01 10:36:53.233,0
898569,Issue,,"analyticsdw,errors,findtreatmentflatbyoptimizationgroupidandloggedutc,running",,07,beckrob,2015-03-31 20:18:11.693,2015-04-01 20:14:35.457,2015-04-01 20:15:19.900,0
899080,Bug,2.0,"cannot,cleared,derivedinputparameter,records",,07,navarrj,2015-04-01 10:16:49.403,2015-04-06 17:44:32.690,2015-04-07 10:59:07.667,0
899081,Bug,,"causes,clientcode,criteria,having,parametercode,record,rules,same,showing",,07,navarrj,2015-04-01 10:17:52.890,2015-04-06 09:46:08.370,2015-04-06 09:57:04.703,0
899456,Bug,,"analytics,causes,collisions,endpoint,host,namespace,namespaced,which",,07,whitakn,2015-04-01 19:14:48.580,2015-04-15 21:15:36.587,2015-04-16 10:33:29.817,0
900506,Bug,1.0,"categorical,decisiontree,error,import,splitpoint,variable",,07,navarrj,2015-04-06 05:50:05.407,2015-04-06 22:53:36.690,2015-04-07 09:11:04.030,0
900528,Bug,4.0,"decisiontree,encountered,error,getting,optimized,parameter,prices,supported,type",,07,vitalim,2015-04-06 06:34:40.363,2015-04-06 22:41:54.280,2015-04-07 10:52:29.427,0
900535,Issue,,"during,inputparameters,optimization,pricing,required",,07,rubiank,2015-04-06 06:51:45.930,2015-04-06 10:55:53.790,2015-04-06 10:57:26.550,0
900976,Bug,1.0,"logged,stage,treatment",,07,vitalim,2015-04-07 02:45:31.353,2015-04-07 16:15:57.493,2015-04-14 08:16:00.467,6
902098,Bug,4.0,"datatype,import,imported,parameter,tool,value",,07,vitalim,2015-04-08 01:48:23.160,2015-04-08 19:32:22.813,2015-04-13 08:28:58.730,4
902164,Issue,,"correct,decisiontree,encountered,error,format,input,string,was",,07,vitalim,2015-04-08 03:28:04.130,2015-04-08 09:42:18.727,2015-04-08 09:43:30.127,0
902415,Bug,5.0,"basic,configuration,decision,error,rule,throws,tree",,07,vitalim,2015-04-08 08:14:07.703,2015-04-08 08:17:23.720,2015-04-08 08:17:28.203,0
902476,Bug,,"cleared,decision,derivedinputparameter,evaluation,optimization,price,tree,work",,07,vitalim,2015-04-08 09:07:37.457,2015-04-10 16:28:58.500,2015-04-14 10:55:48.240,3
902480,Bug,8.0,"cache,changed,derived,import,input,parameter,refreshing,tool",,07,vitalim,2015-04-08 09:10:57.963,2015-04-08 20:07:22.103,2015-04-16 10:04:40.110,7
902641,Bug,6.0,"accepts,blank,decision,importers,tree,values",,07,vitalim,2015-04-08 12:57:01.097,2015-04-08 20:07:46.290,2015-04-14 07:30:16.243,5
903215,Bug,,"commerce,error,occurs,opening,orderinitialize,web",,07,vitalim,2015-04-09 13:12:16.890,2015-04-15 06:23:55.380,2015-04-15 06:24:17.430,0
904679,Bug,1.0,"performance,tab,test,tool,visible",,07,vitalim,2015-04-13 03:47:44.113,2015-04-14 11:13:02.070,2015-04-14 11:14:19.750,0
905923,Bug,3.0,"but,display,experiment,fine,import,pricing,test,tool,values,working",,07,vitalim,2015-04-14 10:09:43.337,2015-04-15 08:58:20.520,2015-04-15 09:00:39.917,0
909088,Issue,,"lab,log,perf,smoketest,treatment",,06,navarrj,2015-04-20 07:38:56.743,2015-04-20 09:24:00.073,2015-04-20 10:06:09.507,0
909139,Issue,,"did,find,quantityavailable,seat",,08,navarrj,2015-04-20 09:03:28.887,2015-04-21 19:25:42.907,2015-04-22 02:21:26.953,0
909410,Bug,,"amountoriginal,behaving,correctly,maximumdiscountpercentage,small,very",,06,navarrj,2015-04-21 01:36:56.463,2015-04-21 11:01:35.040,2015-04-22 01:44:59.803,0
909932,Bug,,"did,find,quantityavailable,seat",,08,navarrj,2015-04-22 02:22:26.550,2015-04-22 02:23:06.783,2015-04-22 03:04:06.497,0
910112,Bug,,"always,incorrect,optimizationgroupid,stored,table,treatment",,08,navarrj,2015-04-22 08:25:38.373,2015-04-23 11:52:39.303,2015-04-24 02:15:03.057,0
910207,Bug,,"calculatedfrom,control,prices,table,treatment,unknown",,08,navarrj,2015-04-22 11:56:25.963,2015-04-23 11:52:38.163,2015-04-24 02:10:53.687,0
910631,Bug,,"ancillaryoptimizationresponse,empty,logged,stage",,08,navarrj,2015-04-23 06:23:22.833,2015-04-23 06:49:46.240,2015-04-23 06:50:46.807,0
910797,Bug,,"bookinghour,bookingweekday,error,generates,object,parameters,reference",,08,navarrj,2015-04-23 09:27:47.490,2015-04-23 10:05:16.953,2015-04-23 11:06:55.010,0
911460,Issue,,"contains,correct,encountered,error,format,input,numeric,optimization,productcode,string,value,was",,08,vitalim,2015-04-24 09:37:18.060,2015-04-27 07:32:34.890,2015-04-27 07:33:26.940,0
914189,Bug,8.0,"always,optimization,price,treatmentordinal",,08,vitalim,2015-04-28 08:49:45.413,2015-04-28 15:15:18.013,2015-04-29 07:09:25.037,0
946737,Story,4.0,"add,calculation,ispriorbooking",,15,vitalim,2015-06-15 13:39:56.057,2015-07-23 10:46:02.950,2015-07-23 10:46:12.160,0
960880,Bug,1.0,"apo,console,decision,import,information,outputs,test,tree",,15,delossj,2015-07-08 03:20:42.343,2015-07-23 10:04:46.233,2015-07-23 10:51:49.257,0
960979,Issue,,"inquiry,pricing,request,sending,skies",,,vitalim,2015-07-08 07:32:34.020,2015-07-10 02:09:51.440,2015-07-10 02:10:42.793,0
961689,Bug,,"cannot,commit,database,experiments,multiple,oridinalrandomizationguid,same",,15,beckrob,2015-07-09 08:00:27.103,2015-07-16 21:05:58.740,2015-07-29 17:30:14.490,12
962345,Bug,,"inquiry,pricing,request,sending,skies",,14,delossj,2015-07-10 02:15:25.227,2015-07-10 02:21:51.643,2015-07-10 02:24:05.627,0
968370,Bug,2.0,"decision,match,name,optimization,ruleset,tree",,15,vitalim,2015-07-20 09:00:12.320,2015-07-20 09:25:54.290,2015-07-20 09:26:11.113,0
969050,Bug,0.5,"actions,apo,available,display,help,list",,15,vitalim,2015-07-21 08:32:06.153,2015-07-23 11:05:59.310,2015-07-23 11:31:13.740,0
970458,Bug,,"authenticated,domain,included,user,username",,15,delossj,2015-07-23 10:47:42.483,2015-07-24 07:00:22.200,2015-07-24 09:51:32.943,0
973218,Bug,,"behavior,decrement,productinventory",,15,delossj,2015-07-28 12:11:34.293,2015-07-28 12:11:49.930,2015-07-28 12:19:47.500,0
974325,Bug,,"bound,currency,different,even,occurs,optimized,price,request,still",,15,delossj,2015-07-29 10:15:55.017,2015-07-30 06:12:23.093,2015-07-30 06:40:58.213,0
978926,Bug,,"colon,excess,local,login,password,retype,user",,16,delossj,2015-08-05 06:11:32.200,2015-08-05 09:29:55.400,2015-08-05 09:45:22.510,0
979865,Issue,,"apo,gets,look,quantityavailable,quantityavailablesource,sent,stage",,16,delossj,2015-08-06 11:50:10.970,2015-08-11 00:30:33.923,2015-08-11 00:42:31.707,0
982602,Bug,,"apo,config,displayed,help,setting,still",,16,delossj,2015-08-11 08:31:18.823,2015-08-12 01:53:19.583,2015-08-12 05:58:11.067,0
999819,Bug,,"behavior,cntlpct,control,experiment,inconsistent,optimization,percentage,targetpercentage",,18,vitalim,2015-09-07 23:10:34.787,2015-09-08 10:30:11.197,2015-09-08 10:39:42.133,0
1000430,Bug,2.0,"data,findtreatmentflatbyoptimizationgroupidandloggedutc,inputparameter,present,proc,require,table",,20,beckrob,2015-09-08 19:37:26.850,2015-10-01 15:46:07.693,2015-10-01 19:33:54.580,0
1005080,Bug,,"automated,test",,19,delossj,2015-09-14 13:46:26.580,2015-09-14 13:57:39.950,2015-09-15 05:36:02.603,0
1008181,Story,,"support,types,value",,3,salvosp,2015-09-17 21:18:15.410,2015-12-16 01:07:33.940,2016-01-04 21:17:36.463,19
1016201,Bug,2.0,"database,during,error,findexperimentandoptimizationavailability,mapping,ordinal",,20,beckrob,2015-10-01 10:19:07.110,2015-10-01 14:21:54.500,2015-10-01 19:33:54.580,0
